 Credit reporting, 1111987, Credit reporting company's investigation, 
 Debt collection, 1110086, Improper contact or sharing of info, 
 Consumer loan, 1110166, Managing the loan or lease, 
 Credit reporting, 1109469, Incorrect information on credit report, 
 Credit reporting, 1109091, Incorrect information on credit report, 
 Debt collection, 1108793, Cont'd attempts collect debt not owed, 
 Debt collection, 1108877, Disclosure verification of debt, 
 Consumer loan, 1107082, Managing the loan or lease, 
 Credit reporting, 1105426, Incorrect information on credit report, 
 Bank account or service, 1105519, Problems caused by my funds being low, 
 Credit reporting, 1105424, Incorrect information on credit report, 
 Credit reporting, 1105425, Incorrect information on credit report, 
 Credit reporting, 1103595, Credit reporting company's investigation, 
 Debt collection, 1103406, Communication tactics, 
 Debt collection, 1104348, Communication tactics, 
 Debt collection, 1102581, Cont'd attempts collect debt not owed, 
 Payday loan, 1101675, Can't contact lender, 
 Bank account or service, 1100905, Deposits and withdrawals, 
 Debt collection, 1102365, Communication tactics, 
 Bank account or service, 1100854, Deposits and withdrawals, 
 Credit reporting, 1101551, Incorrect information on credit report, 
 Credit card, 1100055, Credit line increase/decrease, 
 Debt collection, 1099462, Disclosure verification of debt, 
 Debt collection, 1100117, Taking/threatening an illegal action, 
 Debt collection, 1098105, Cont'd attempts collect debt not owed, 
 Debt collection, 1097222, Improper contact or sharing of info, 
 Debt collection, 1096489, Communication tactics, 
 Credit card, 1095320, Late fee, 
 Debt collection, 1095434, Communication tactics, 
 Debt collection, 1095130, Cont'd attempts collect debt not owed, 
 Debt collection, 1096441, Disclosure verification of debt, 
 Debt collection, 1093850, Taking/threatening an illegal action, 
 Credit reporting, 1094329, Incorrect information on credit report, 
 Credit reporting, 1094333, Incorrect information on credit report, 
 Consumer loan, 1093575, Shopping for a line of credit, 
 Credit reporting, 1094328, Incorrect information on credit report, 
 Credit reporting, 1094332, Incorrect information on credit report, 
 Credit reporting, 1094331, Incorrect information on credit report, 
 Debt collection, 1094393, Improper contact or sharing of info, 
 Payday loan, 1094897, Charged fees or interest I didn't expect, 
 Student loan, 1094952, Dealing with my lender or servicer, 
 Debt collection, 1093068, Communication tactics, 
 Debt collection, 1093183, False statements or representation, 
 Debt collection, 1096488, Cont'd attempts collect debt not owed, 
 Debt collection, 1093845, Cont'd attempts collect debt not owed, 
 Bank account or service, 1092549, Using a debit or ATM card, 
 Bank account or service, 1092491, Deposits and withdrawals, 
 Mortgage, 1092519, Settlement process and costs, 
 Debt collection, 1092458, Communication tactics, 
 Credit card, 1091534, Delinquent account, 
 Debt collection, 1091912, Disclosure verification of debt, 
 Credit reporting, 1092679, Unable to get credit report/credit score, 
 Credit card, 1089162, Credit determination, 
 Debt collection, 1087840, Cont'd attempts collect debt not owed, 
 Debt collection, 1087318, Improper contact or sharing of info, 
 Debt collection, 1087206, Cont'd attempts collect debt not owed, 
 Debt collection, 1088556, False statements or representation, 
 Debt collection, 1091089, Disclosure verification of debt, 
 Mortgage, 1091147, Settlement process and costs, 
 Credit card, 1087154, Balance transfer fee, 
 Credit reporting, 1090923, Incorrect information on credit report, 
 Credit reporting, 1087127, Incorrect information on credit report, 
 Student loan, 1090836, Can't repay my loan, 
 Debt collection, 1090844, Cont'd attempts collect debt not owed, 
 Credit card, 1089486, Other, 
 Debt collection, 1087070, False statements or representation, 
 Credit card, 1086891, Transaction issue, 
 Consumer loan, 1086426, Managing the loan or lease, 
 Payday loan, 1086261, Charged fees or interest I didn't expect, 
 Payday loan, 1085060, Applied for loan/did not receive money, 
 Credit reporting, 1085089, Credit reporting company's investigation, 
 Credit card, 1085466, Billing disputes, 
 Credit card, 1085247, APR or interest rate, 
 Credit reporting, 1083231, Credit monitoring or identity protection, 
 Debt collection, 1085297, Communication tactics, 
 Debt collection, 1083699, Disclosure verification of debt, 
 Debt collection, 1083177, Cont'd attempts collect debt not owed, 
 Debt collection, 1083248, Communication tactics, 
 Debt collection, 1083984, Cont'd attempts collect debt not owed, 
 Credit card, 1084397, Billing disputes, 
 Student loan, 1083798, Dealing with my lender or servicer, 
 Debt collection, 1084148, Communication tactics, 
 Credit card, 1082369, Advertising and marketing, 
 Debt collection, 1083551, Cont'd attempts collect debt not owed, 
 Credit card, 1082836, Other, 
 Debt collection, 1081843, Communication tactics, 
 Credit reporting, 1081897, Incorrect information on credit report, 
 Debt collection, 1082693, Disclosure verification of debt, 
 Bank account or service, 1082229, Deposits and withdrawals, 
 Credit card, 1081223, Other, 
 Money transfers, 1081327, Other transaction issues, 
 Bank account or service, 1081654, Problems caused by my funds being low, 
 Bank account or service, 1082739, Deposits and withdrawals, 
 Bank account or service, 1081561, Problems caused by my funds being low, 
 Bank account or service, 1081168, Deposits and withdrawals, 
 Debt collection, 1081455, Disclosure verification of debt, 
 Debt collection, 1081335, Cont'd attempts collect debt not owed, 
 Consumer loan, 1080575, Problems when you are unable to pay, 
 Credit reporting, 1080445, Unable to get credit report/credit score, 
 Credit card, 1079888, Closing/Cancelling account, 
 Debt collection, 1080394, Cont'd attempts collect debt not owed, 
 Bank account or service, 1079289, Using a debit or ATM card, 
 Credit card, 1079173, Other, 
 Student loan, 1081524, Can't repay my loan, 
 Debt collection, 1078158, Cont'd attempts collect debt not owed, 
 Debt collection, 1079530, Taking/threatening an illegal action, 
 Debt collection, 1079529, Taking/threatening an illegal action, 
 Debt collection, 1078157, Cont'd attempts collect debt not owed, 
 Consumer loan, 1078362, Managing the loan or lease, 
 Debt collection, 1079531, Taking/threatening an illegal action, 
 Debt collection, 1079561, Communication tactics, 
 Student loan, 1079537, Dealing with my lender or servicer, 
 Debt collection, 1077939, Disclosure verification of debt, 
 Credit card, 1081145, Other fee, 
 Consumer loan, 1078008, Managing the loan or lease, 
 Debt collection, 1077940, Disclosure verification of debt, 
 Credit card, 1079580, Other, 
 Debt collection, 1077091, Communication tactics, 
 Credit card, 1076956, Closing/Cancelling account, 
 Credit card, 1076677, Closing/Cancelling account, 
 Credit reporting, 1076878, Incorrect information on credit report, 
 Credit reporting, 1076808, Incorrect information on credit report, 
 Consumer loan, 1076900, Taking out the loan or lease, 
 Credit reporting, 1074649, Incorrect information on credit report, 
 Credit reporting, 1074650, Incorrect information on credit report, 
 Credit reporting, 1074703, Incorrect information on credit report, 
 Consumer loan, 1074770, Taking out the loan or lease, 
 Credit reporting, 1076413, Incorrect information on credit report, 
 Bank account or service, 1075417, Problems caused by my funds being low, 
 Credit reporting, 1076719, Incorrect information on credit report, 
 Credit reporting, 1076718, Incorrect information on credit report, 
 Credit card, 1075735, Advertising and marketing, 
 Credit reporting, 1074704, Incorrect information on credit report, 
 Debt collection, 1074797, Cont'd attempts collect debt not owed, 
 Credit reporting, 1076717, Incorrect information on credit report, 
 Credit reporting, 1074705, Incorrect information on credit report, 
 Debt collection, 1076216, Cont'd attempts collect debt not owed, 
 Credit card, 1074190, Billing statement, 
 Consumer loan, 1074272, Managing the loan or lease, 
 Debt collection, 1075117, Disclosure verification of debt, 
 Debt collection, 1073769, Communication tactics, 
 Consumer loan, 1074669, Taking out the loan or lease, 
 Credit card, 1074808, Other, 
 Debt collection, 1073854, Disclosure verification of debt, 
 Payday loan, 1077452, Charged fees or interest I didn't expect, 
 Bank account or service, 1074670, Deposits and withdrawals, 
 Debt collection, 1073853, Disclosure verification of debt, 
 Credit reporting, 1073574, Incorrect information on credit report, 
 Mortgage, 1073084, Other, 
 Debt collection, 1075119, Disclosure verification of debt, 
 Student loan, 1073302, Can't repay my loan, 
 Debt collection, 1073550, Communication tactics, 
 Debt collection, 1071962, Cont'd attempts collect debt not owed, 
 Bank account or service, 1073283, Problems caused by my funds being low, 
 Debt collection, 1073253, Cont'd attempts collect debt not owed, 
 Debt collection, 1072212, Communication tactics, 
 Consumer loan, 1073223, Taking out the loan or lease, 
 Credit reporting, 1072757, Incorrect information on credit report, 
 Consumer loan, 1071748, Managing the loan or lease, 
 Debt collection, 1071478, Disclosure verification of debt, 
 Credit reporting, 1073036, Incorrect information on credit report, 
 Credit card, 1069446, Billing disputes, 
 Credit reporting, 1069393, Credit reporting company's investigation, 
 Payday loan, 1069035, Charged fees or interest I didn't expect, 
 Consumer loan, 1069396, Problems when you are unable to pay, 
 Credit reporting, 1071300, Unable to get credit report/credit score, 
 Credit reporting, 1070192, Unable to get credit report/credit score, 
 Credit reporting, 1069394, Incorrect information on credit report, 
 Credit reporting, 1069395, Incorrect information on credit report, 
