 Debt collection, 959376, Cont'd attempts collect debt not owed, 
 Credit card, 956391, Closing/Cancelling account, 
 Debt collection, 956909, Communication tactics, 
 Payday loan, 958219, Can't stop charges to bank account, 
 Bank account or service, 955467, Problems caused by my funds being low, 
 Debt collection, 954916, Improper contact or sharing of info, 
 Student loan, 950159, Dealing with my lender or servicer, 
 Consumer loan, 948504, Managing the loan or lease, 
 Debt collection, 948647, Improper contact or sharing of info, 
 Debt collection, 942581, Cont'd attempts collect debt not owed, 
 Debt collection, 937238, Cont'd attempts collect debt not owed, 
 Student loan, 938065, Dealing with my lender or servicer, 
 Debt collection, 935392, Disclosure verification of debt, 
 Money transfers, 934521, Other transaction issues, 
 Debt collection, 932938, Communication tactics, 
 Debt collection, 931733, Cont'd attempts collect debt not owed, 
 Debt collection, 924139, Cont'd attempts collect debt not owed, 
 Debt collection, 924138, Cont'd attempts collect debt not owed, 
 Debt collection, 921203, Taking/threatening an illegal action, 
 Student loan, 921020, Dealing with my lender or servicer, 
 Credit card, 918353, Closing/Cancelling account, 
 Credit card, 918909, Billing disputes, 
 Debt collection, 918204, Improper contact or sharing of info, 
 Debt collection, 918803, Cont'd attempts collect debt not owed, 
 Credit reporting, 916089, Unable to get credit report/credit score, 
 Debt collection, 914217, Cont'd attempts collect debt not owed, 
 Credit card, 912489, Identity theft / Fraud / Embezzlement, 
 Consumer loan, 911106, Managing the loan or lease, 
 Debt collection, 911195, Communication tactics, 
 Student loan, 909022, Can't repay my loan, 
 Bank account or service, 907323, Deposits and withdrawals, 
 Credit card, 907418, Identity theft / Fraud / Embezzlement, 
 Credit card, 904058, Other, 
 Debt collection, 902392, Communication tactics, 
 Debt collection, 900430, Communication tactics, 
 Payday loan, 898625, Charged fees or interest I didn't expect, 
 Bank account or service, 898887, Problems caused by my funds being low, 
 Debt collection, 899610, Communication tactics, 
 Credit reporting, 895989, Incorrect information on credit report, 
 Student loan, 896611, Can't repay my loan, 
 Credit reporting, 893518, Incorrect information on credit report, 
 Credit card, 893519, Payoff process, 
 Debt collection, 890401, Improper contact or sharing of info, 
 Money transfers, 888936, Fraud or scam, 
 Debt collection, 888432, Cont'd attempts collect debt not owed, 
 Credit card, 887707, Closing/Cancelling account, 
 Debt collection, 883893, Cont'd attempts collect debt not owed, 
 Consumer loan, 882349, Managing the loan or lease, 
 Consumer loan, 882348, Managing the loan or lease, 
 Mortgage, 881001, Settlement process and costs, 
 Debt collection, 881062, Improper contact or sharing of info, 
 Credit card, 880046, Sale of account, 
 Student loan, 880062, Can't repay my loan, 
 Credit reporting, 878499, Incorrect information on credit report, 
 Debt collection, 878618, Cont'd attempts collect debt not owed, 
 Debt collection, 879308, Communication tactics, 
 Debt collection, 876264, Disclosure verification of debt, 
 Debt collection, 876263, Disclosure verification of debt, 
 Student loan, 876729, Dealing with my lender or servicer, 
 Consumer loan, 877023, Problems when you are unable to pay, 
 Debt collection, 875914, Communication tactics, 
 Student loan, 875219, Can't repay my loan, 
 Credit card, 875781, Delinquent account, 
 Credit reporting, 871126, Incorrect information on credit report, 
 Credit reporting, 871125, Incorrect information on credit report, 
 Debt collection, 869958, Disclosure verification of debt, 
 Credit reporting, 868594, Incorrect information on credit report, 
 Debt collection, 869109, Cont'd attempts collect debt not owed, 
 Credit card, 867715, Bankruptcy, 
 Bank account or service, 867426, Problems caused by my funds being low, 
 Credit reporting, 864639, Credit reporting company's investigation, 
 Bank account or service, 861872, Problems caused by my funds being low, 
 Debt collection, 861887, Disclosure verification of debt, 
 Debt collection, 860296, Disclosure verification of debt, 
 Debt collection, 857473, Communication tactics, 
 Credit reporting, 856682, Incorrect information on credit report, 
 Debt collection, 853750, Cont'd attempts collect debt not owed, 
 Debt collection, 855319, Improper contact or sharing of info, 
 Credit card, 853654, Balance transfer, 
 Credit reporting, 848468, Incorrect information on credit report, 
 Credit card, 847521, Billing disputes, 
 Debt collection, 848152, Cont'd attempts collect debt not owed, 
 Student loan, 846864, Can't repay my loan, 
 Debt collection, 846890, Taking/threatening an illegal action, 
 Credit reporting, 845993, Incorrect information on credit report, 
 Bank account or service, 846095, Problems caused by my funds being low, 
 Bank account or service, 843160, Deposits and withdrawals, 
 Payday loan, 843761, Can't contact lender, 
 Credit reporting, 844671, Incorrect information on credit report, 
 Credit reporting, 843583, Unable to get credit report/credit score, 
 Credit card, 842515, Customer service / Customer relations, 
 Debt collection, 842711, Communication tactics, 
 Bank account or service, 840983, Deposits and withdrawals, 
