 Credit card, 983856, Identity theft / Fraud / Embezzlement, 
 Credit card, 983855, Identity theft / Fraud / Embezzlement, 
 Credit reporting, 986018, Credit monitoring or identity protection, 
 Bank account or service, 982225, Problems caused by my funds being low, 
 Credit card, 982575, Identity theft / Fraud / Embezzlement, 
 Credit card, 981941, Unsolicited issuance of credit card, 
 Money transfers, 981978, Other transaction issues, 
 Consumer loan, 978598, Taking out the loan or lease, 
 Student loan, 977772, Can't repay my loan, 
 Credit card, 974936, Credit determination, 
 Credit reporting, 976343, Incorrect information on credit report, 
 Debt collection, 976378, Disclosure verification of debt, 
 Debt collection, 972905, Cont'd attempts collect debt not owed, 
 Debt collection, 972904, Cont'd attempts collect debt not owed, 
 Debt collection, 972903, Cont'd attempts collect debt not owed, 
 Debt collection, 972902, Cont'd attempts collect debt not owed, 
 Credit card, 973174, APR or interest rate, 
 Debt collection, 973188, False statements or representation, 
 Payday loan, 973300, Charged fees or interest I didn't expect, 
 Bank account or service, 971294, Problems caused by my funds being low, 
 Student loan, 969818, Can't repay my loan, 
 Credit reporting, 968787, Incorrect information on credit report, 
 Mortgage, 968432, Settlement process and costs, 
 Consumer loan, 970155, Problems when you are unable to pay, 
 Bank account or service, 965169, Deposits and withdrawals, 
 Bank account or service, 965852, Using a debit or ATM card, 
 Credit reporting, 962140, Unable to get credit report/credit score, 
 Bank account or service, 960419, Deposits and withdrawals, 
 Debt collection, 962216, Communication tactics, 
 Consumer loan, 959501, Problems when you are unable to pay, 
 Bank account or service, 958297, Deposits and withdrawals, 
 Debt collection, 959447, Cont'd attempts collect debt not owed, 
 Credit reporting, 956705, Incorrect information on credit report, 
 Mortgage, 956008, Settlement process and costs, 
 Consumer loan, 956051, Managing the line of credit, 
 Debt collection, 957672, Cont'd attempts collect debt not owed, 
 Mortgage, 958029, Settlement process and costs, 
 Debt collection, 954097, Cont'd attempts collect debt not owed, 
 Student loan, 951857, Can't repay my loan, 
 Bank account or service, 952492, Problems caused by my funds being low, 
 Debt collection, 950823, Communication tactics, 
 Credit card, 950889, Late fee, 
 Bank account or service, 950535, Problems caused by my funds being low, 
 Debt collection, 948452, Disclosure verification of debt, 
 Consumer loan, 949501, Shopping for a loan or lease, 
 Bank account or service, 945528, Problems caused by my funds being low, 
 Credit card, 946090, Billing disputes, 
 Debt collection, 947511, Cont'd attempts collect debt not owed, 
 Credit reporting, 943495, Incorrect information on credit report, 
 Credit reporting, 943496, Incorrect information on credit report, 
 Credit card, 944200, Rewards, 
 Debt collection, 944493, Disclosure verification of debt, 
 Debt collection, 941250, Cont'd attempts collect debt not owed, 
 Debt collection, 940545, Cont'd attempts collect debt not owed, 
 Debt collection, 940544, Cont'd attempts collect debt not owed, 
 Debt collection, 940546, Cont'd attempts collect debt not owed, 
 Debt collection, 939085, Improper contact or sharing of info, 
 Credit card, 936964, Other fee, 
 Credit card, 935294, Customer service / Customer relations, 
 Credit card, 935814, Other fee, 
 Credit reporting, 933295, Incorrect information on credit report, 
 Bank account or service, 928781, Deposits and withdrawals, 
 Debt collection, 929991, Taking/threatening an illegal action, 
 Credit reporting, 930704, Unable to get credit report/credit score, 
 Debt collection, 926786, Disclosure verification of debt, 
 Debt collection, 925562, False statements or representation, 
 Credit card, 925195, Credit line increase/decrease, 
 Debt collection, 925563, False statements or representation, 
 Mortgage, 923492, Credit decision / Underwriting, 
 Credit card, 923868, Credit determination, 
 Credit card, 918297, Billing disputes, 
 Debt collection, 918730, Disclosure verification of debt, 
 Consumer loan, 917975, Problems when you are unable to pay, 
 Credit card, 916186, Credit determination, 
 Debt collection, 915708, Disclosure verification of debt, 
 Credit card, 913859, Billing disputes, 
 Credit reporting, 914596, Unable to get credit report/credit score, 
 Debt collection, 910610, False statements or representation, 
 Debt collection, 908559, Communication tactics, 
 Credit reporting, 905537, Credit reporting company's investigation, 
 Mortgage, 904477, Settlement process and costs, 
 Credit reporting, 902647, Incorrect information on credit report, 
 Credit reporting, 902646, Incorrect information on credit report, 
 Credit reporting, 902651, Incorrect information on credit report, 
 Credit reporting, 902650, Incorrect information on credit report, 
 Credit reporting, 902648, Incorrect information on credit report, 
 Credit reporting, 902655, Incorrect information on credit report, 
 Credit reporting, 902654, Incorrect information on credit report, 
 Credit reporting, 902653, Incorrect information on credit report, 
 Credit reporting, 901395, Credit reporting company's investigation, 
 Credit card, 901844, Late fee, 
 Debt collection, 900249, Communication tactics, 
 Consumer loan, 895953, Taking out the loan or lease, 
 Credit card, 896321, Credit line increase/decrease, 
 Credit card, 893484, Delinquent account, 
 Bank account or service, 894075, Problems caused by my funds being low, 
 Debt collection, 891416, Communication tactics, 
 Debt collection, 891719, False statements or representation, 
 Debt collection, 888859, Disclosure verification of debt, 
 Mortgage, 887816, Settlement process and costs, 
 Debt collection, 888034, Disclosure verification of debt, 
 Debt collection, 887085, Improper contact or sharing of info, 
 Debt collection, 886704, Improper contact or sharing of info, 
 Credit reporting, 885297, Incorrect information on credit report, 
