 Debt collection, 1007171, Cont'd attempts collect debt not owed, 
 Student loan, 1007304, Dealing with my lender or servicer, 
 Debt collection, 1007929, Taking/threatening an illegal action, 
 Debt collection, 1006247, Communication tactics, 
 Debt collection, 1004204, Taking/threatening an illegal action, 
 Credit card, 1004539, Identity theft / Fraud / Embezzlement, 
 Credit card, 1003322, Billing disputes, 
 Credit card, 1003321, Billing disputes, 
 Debt collection, 1005623, Communication tactics, 
 Credit card, 1005621, Late fee, 
 Debt collection, 1003508, Communication tactics, 
 Debt collection, 1003619, Cont'd attempts collect debt not owed, 
 Credit card, 1002381, Billing disputes, 
 Credit card, 1002175, Credit card protection / Debt protection, 
 Consumer loan, 1002360, Taking out the loan or lease, 
 Credit card, 1002383, Billing disputes, 
 Credit card, 1002382, Billing disputes, 
 Debt collection, 1002516, Communication tactics, 
 Payday loan, 998566, Charged fees or interest I didn't expect, 
 Consumer loan, 998967, Taking out the loan or lease, 
 Debt collection, 998372, Improper contact or sharing of info, 
 Debt collection, 998371, Improper contact or sharing of info, 
 Debt collection, 997139, Cont'd attempts collect debt not owed, 
 Bank account or service, 997260, Deposits and withdrawals, 
 Credit card, 997654, Other, 
 Debt collection, 998271, Cont'd attempts collect debt not owed, 
 Credit reporting, 996023, Incorrect information on credit report, 
 Debt collection, 992662, Taking/threatening an illegal action, 
 Credit card, 992680, Billing disputes, 
 Consumer loan, 993739, Problems when you are unable to pay, 
 Credit card, 992531, Transaction issue, 
 Debt collection, 988765, Cont'd attempts collect debt not owed, 
 Credit card, 990258, Other, 
 Consumer loan, 987937, Problems when you are unable to pay, 
 Consumer loan, 984822, Managing the loan or lease, 
 Credit card, 985452, APR or interest rate, 
 Bank account or service, 981571, Deposits and withdrawals, 
 Debt collection, 983009, Communication tactics, 
 Debt collection, 979780, Improper contact or sharing of info, 
 Debt collection, 977536, Improper contact or sharing of info, 
 Credit reporting, 976742, Incorrect information on credit report, 
 Consumer loan, 975554, Managing the loan or lease, 
 Debt collection, 972743, Cont'd attempts collect debt not owed, 
 Credit reporting, 973978, Incorrect information on credit report, 
 Credit card, 975129, Credit card protection / Debt protection, 
 Debt collection, 970928, Cont'd attempts collect debt not owed, 
 Mortgage, 971065, Credit decision / Underwriting, 
 Debt collection, 972696, Communication tactics, 
 Credit card, 973032, Customer service / Customer relations, 
 Bank account or service, 972169, Deposits and withdrawals, 
 Mortgage, 969866, Settlement process and costs, 
 Debt collection, 970130, Disclosure verification of debt, 
 Payday loan, 970254, Charged fees or interest I didn't expect, 
 Credit reporting, 967122, Unable to get credit report/credit score, 
 Credit card, 967617, Closing/Cancelling account, 
 Debt collection, 966003, Taking/threatening an illegal action, 
 Debt collection, 966002, Taking/threatening an illegal action, 
 Credit card, 964998, Customer service / Customer relations, 
 Student loan, 964049, Dealing with my lender or servicer, 
 Bank account or service, 964515, Problems caused by my funds being low, 
 Credit reporting, 964548, Incorrect information on credit report, 
 Credit reporting, 962893, Incorrect information on credit report, 
 Debt collection, 963610, Cont'd attempts collect debt not owed, 
 Credit reporting, 962058, Incorrect information on credit report, 
 Student loan, 962433, Can't repay my loan, 
 Credit reporting, 962553, Incorrect information on credit report, 
 Credit reporting, 962552, Incorrect information on credit report, 
 Debt collection, 960339, Communication tactics, 
 Bank account or service, 958847, Problems caused by my funds being low, 
 Debt collection, 958265, Communication tactics, 
 Credit card, 956189, APR or interest rate, 
 Credit reporting, 958118, Incorrect information on credit report, 
 Credit reporting, 958121, Incorrect information on credit report, 
 Debt collection, 955818, Communication tactics, 
 Credit reporting, 954701, Incorrect information on credit report, 
 Credit card, 953884, Identity theft / Fraud / Embezzlement, 
 Debt collection, 954746, Disclosure verification of debt, 
 Mortgage, 952032, Credit decision / Underwriting, 
 Credit reporting, 953214, Credit monitoring or identity protection, 
 Credit reporting, 953213, Credit monitoring or identity protection, 
 Credit reporting, 952072, Incorrect information on credit report, 
 Credit reporting, 952071, Incorrect information on credit report, 
 Credit reporting, 951048, Incorrect information on credit report, 
 Credit reporting, 951047, Incorrect information on credit report, 
 Credit reporting, 951049, Incorrect information on credit report, 
 Credit reporting, 951532, Unable to get credit report/credit score, 
 Debt collection, 950781, Cont'd attempts collect debt not owed, 
 Debt collection, 950780, Cont'd attempts collect debt not owed, 
 Credit card, 947440, Delinquent account, 
 Debt collection, 946869, Communication tactics, 
 Credit card, 947439, Delinquent account, 
 Credit card, 947438, Delinquent account, 
 Debt collection, 947500, Taking/threatening an illegal action, 
 Debt collection, 947519, Cont'd attempts collect debt not owed, 
 Consumer loan, 945672, Problems when you are unable to pay, 
 Student loan, 943418, Dealing with my lender or servicer, 
 Debt collection, 944284, Cont'd attempts collect debt not owed, 
 Debt collection, 941132, Taking/threatening an illegal action, 
 Debt collection, 939949, Taking/threatening an illegal action, 
 Credit reporting, 938519, Incorrect information on credit report, 
 Credit card, 937377, Other, 
