SD, Credit reporting, 726868, Incorrect information on credit report, 
SD, Debt collection, 726260, Improper contact or sharing of info, 
SD, Student loan, 723362, Can't repay my loan, 
SD, Debt collection, 708016, Cont'd attempts collect debt not owed, 
SD, Debt collection, 690413, Disclosure verification of debt, 
SD, Student loan, 688071, Dealing with my lender or servicer, 
SD, Debt collection, 685593, Cont'd attempts collect debt not owed, 
SD, Credit card, 679296, Sale of account, 
SD, Debt collection, 677247, Disclosure verification of debt, 
SD, Debt collection, 676593, False statements or representation, 
SD, Credit card, 674403, Other, 
SD, Debt collection, 672547, Improper contact or sharing of info, 
SD, Debt collection, 664819, Improper contact or sharing of info, 
SD, Credit reporting, 665147, Incorrect information on credit report, 
SD, Debt collection, 661372, Taking/threatening an illegal action, 
SD, Credit card, 649217, Credit card protection / Debt protection, 
SD, Debt collection, 649449, Cont'd attempts collect debt not owed, 
SD, Student loan, 643800, Dealing with my lender or servicer, 
SD, Credit card, 642731, Unsolicited issuance of credit card, 
SD, Student loan, 647002, Repaying your loan, 
SD, Debt collection, 636927, Communication tactics, 
SD, Debt collection, 632824, Communication tactics, 
SD, Debt collection, 629452, Cont'd attempts collect debt not owed, 
SD, Debt collection, 629453, Cont'd attempts collect debt not owed, 
SD, Student loan, 624291, Repaying your loan, 
SD, Credit reporting, 617237, Unable to get credit report/credit score, 
SD, Debt collection, 618730, Taking/threatening an illegal action, 
SD, Credit card, 616981, Closing/Cancelling account, 
SD, Debt collection, 614664, Taking/threatening an illegal action, 
SD, Debt collection, 614663, Taking/threatening an illegal action, 
SD, Credit card, 610234, APR or interest rate, 
SD, Credit card, 610233, APR or interest rate, 
SD, Credit reporting, 605469, Incorrect information on credit report, 
SD, Credit card, 603260, Payoff process, 
SD, Credit card, 603251, Billing statement, 
SD, Credit card, 592575, Billing disputes, 
SD, Debt collection, 587789, Communication tactics, 
SD, Debt collection, 581757, Cont'd attempts collect debt not owed, 
SD, Debt collection, 563647, Cont'd attempts collect debt not owed, 
SD, Credit card, 561816, Identity theft / Fraud / Embezzlement, 
SD, Credit card, 543733, Closing/Cancelling account, 
SD, Debt collection, 545195, Cont'd attempts collect debt not owed, 
SD, Credit reporting, 518673, Incorrect information on credit report, 
SD, Credit reporting, 504826, Credit monitoring or identity protection, 
SD, Credit card, 508150, Delinquent account, 
SD, Bank account or service, 499781, Problems caused by my funds being low, 
SD, Debt collection, 497548, False statements or representation, 
SD, Credit reporting, 489983, Incorrect information on credit report, 
SD, Credit card, 483349, Transaction issue, 
SD, Credit reporting, 475239, Incorrect information on credit report, 
SD, Mortgage, 465966, Settlement process and costs, 
SD, Bank account or service, 459009, Problems caused by my funds being low, 
SD, Credit reporting, 444750, Incorrect information on credit report, 
SD, Credit reporting, 441161, Incorrect information on credit report, 
SD, Credit card, 438186, Identity theft / Fraud / Embezzlement, 
SD, Credit reporting, 430210, Incorrect information on credit report, 
SD, Credit card, 419934, Overlimit fee, 
SD, Consumer loan, 420843, Managing the loan or lease, 
SD, Bank account or service, 419024, Deposits and withdrawals, 
SD, Bank account or service, 419040, Problems caused by my funds being low, 
SD, Student loan, 414695, Getting a loan, 
SD, Mortgage, 414455, Other, 
SD, Credit card, 411503, Billing disputes, 
SD, Credit reporting, 404237, Incorrect information on credit report, 
SD, Credit reporting, 404236, Incorrect information on credit report, 
SD, Credit card, 398979, Advertising and marketing, 
SD, Bank account or service, 398774, Problems caused by my funds being low, 
SD, Consumer loan, 393111, Managing the loan or lease, 
SD, Credit card, 388707, Credit reporting, 
SD, Credit card, 362183, Billing disputes, 
SD, Credit card, 362182, Billing disputes, 
SD, Bank account or service, 352596, Using a debit or ATM card, 
SD, Bank account or service, 351604, Deposits and withdrawals, 
SD, Bank account or service, 340770, Deposits and withdrawals, 
SD, Credit card, 341630, Customer service / Customer relations, 
SD, Credit card, 339701, Payoff process, 
SD, Credit card, 338616, Advertising and marketing, 
SD, Credit card, 335517, Collection practices, 
SD, Credit card, 332202, Other fee, 
SD, Student loan, 323172, Repaying your loan, 
SD, Student loan, 324365, Problems when you are unable to pay, 
SD, Credit card, 313919, Unsolicited issuance of credit card, 
SD, Student loan, 313388, Repaying your loan, 
SD, Credit card, 309227, Payoff process, 
SD, Credit card, 295580, Advertising and marketing, 
SD, Mortgage, 282175, Credit decision / Underwriting, 
SD, Bank account or service, 250788, Deposits and withdrawals, 
SD, Consumer loan, 237370, Managing the loan or lease, 
SD, Bank account or service, 221600, Deposits and withdrawals, 
SD, Credit card, 215001, Billing disputes, 
SD, Credit card, 214195, Other fee, 
SD, Credit reporting, 208946, Incorrect information on credit report, 
SD, Credit card, 204215, Unsolicited issuance of credit card, 
SD, Credit card, 199806, Credit reporting, 
SD, Credit reporting, 195561, Credit reporting company's investigation, 
SD, Credit reporting, 195560, Credit reporting company's investigation, 
SD, Credit reporting, 195559, Incorrect information on credit report, 
SD, Credit card, 192775, Closing/Cancelling account, 
SD, Credit card, 189466, Billing disputes, 
SD, Credit reporting, 180835, Incorrect information on credit report, 
SD, Consumer loan, 171950, Managing the loan or lease, 
SD, Bank account or service, 171981, Deposits and withdrawals, 
SD, Mortgage, 168977, Credit decision / Underwriting, 
SD, Credit card, 168180, Bankruptcy, 
SD, Credit card, 165557, Forbearance / Workout plans, 
SD, Bank account or service, 159871, Using a debit or ATM card, 
SD, Credit card, 152259, Identity theft / Fraud / Embezzlement, 
SD, Credit card, 149867, Collection practices, 
SD, Credit card, 147150, Billing disputes, 
SD, Credit card, 144517, APR or interest rate, 
SD, Consumer loan, 140759, Problems when you are unable to pay, 
SD, Credit card, 136171, Credit determination, 
SD, Credit card, 129105, Payoff process, 
SD, Credit card, 127413, Other fee, 
SD, Credit card, 123479, Collection debt dispute, 
SD, Credit card, 124028, APR or interest rate, 
SD, Student loan, 120684, Repaying your loan, 
SD, Credit card, 120106, Identity theft / Fraud / Embezzlement, 
SD, Credit card, 112686, Billing statement, 
SD, Credit card, 106829, Credit line increase/decrease, 
SD, Credit card, 103812, Sale of account, 
SD, Credit card, 100824, APR or interest rate, 
SD, Bank account or service, 94678, Deposits and withdrawals, 
SD, Mortgage, 90541, Settlement process and costs, 
SD, Bank account or service, 80271, Problems caused by my funds being low, 
SD, Bank account or service, 78167, Deposits and withdrawals, 
SD, Credit card, 75734, Collection practices, 
SD, Student loan, 74729, Repaying your loan, 
SD, Bank account or service, 73800, Problems caused by my funds being low, 
SD, Consumer loan, 69250, Taking out the loan or lease, 
SD, Bank account or service, 66738, Problems caused by my funds being low, 
SD, Consumer loan, 53909, Problems when you are unable to pay, 
SD, Credit card, 41819, Other fee, 
SD, Bank account or service, 40464, Using a debit or ATM card, 
SD, Credit card, 39777, APR or interest rate, 
SD, Mortgage, 35518, Credit decision / Underwriting, 
SD, Credit card, 29933, Late fee, 
SD, Student loan, 28847, Problems when you are unable to pay, 
SD, Credit card, 28447, Collection practices, 
SD, Mortgage, 22591, Settlement process and costs, 
SD, Credit card, 14486, Credit reporting, 
SD, Credit card, 12526, Billing disputes, 
SD, Credit card, 11871, Identity theft / Fraud / Embezzlement, 
SD, Credit card, 11872, Identity theft / Fraud / Embezzlement, 
SD, Credit card, 8898, Billing disputes, 
SD, Credit card, 7874, Credit determination, 
SD, Credit card, 6913, Closing/Cancelling account, 
SD, Credit card, 7341, Identity theft / Fraud / Embezzlement, 
SD, Credit card, 2439, Billing disputes, 
SD, Credit card, 2511, Billing disputes, 
SD, Credit card, 2512, Billing disputes, 
