DC, Credit reporting, 1109376, Improper use of my credit report, 
DC, Debt collection, 1108789, Cont'd attempts collect debt not owed, 
DC, Student loan, 1101634, Can't repay my loan, 
DC, Credit card, 1099994, Late fee, 
DC, Credit reporting, 1098869, Incorrect information on credit report, 
DC, Debt collection, 1093281, Communication tactics, 
DC, Credit card, 1094152, Billing disputes, 
DC, Debt collection, 1093282, Communication tactics, 
DC, Debt collection, 1092269, Disclosure verification of debt, 
DC, Credit card, 1090221, Other, 
DC, Credit card, 1090220, Other, 
DC, Bank account or service, 1085405, Problems caused by my funds being low, 
DC, Credit reporting, 1084996, Incorrect information on credit report, 
DC, Student loan, 1084892, Can't repay my loan, 
DC, Credit reporting, 1083146, Incorrect information on credit report, 
DC, Student loan, 1084893, Can't repay my loan, 
DC, Debt collection, 1082235, Disclosure verification of debt, 
DC, Credit reporting, 1081337, Credit reporting company's investigation, 
DC, Credit reporting, 1081379, Incorrect information on credit report, 
DC, Consumer loan, 1080535, Shopping for a loan or lease, 
DC, Payday loan, 1081211, Charged fees or interest I didn't expect, 
DC, Debt collection, 1076249, Communication tactics, 
DC, Debt collection, 1076248, Communication tactics, 
DC, Payday loan, 1073430, Applied for loan/did not receive money, 
DC, Credit reporting, 1071802, Incorrect information on credit report, 
DC, Debt collection, 1071628, Cont'd attempts collect debt not owed, 
DC, Bank account or service, 1068727, Deposits and withdrawals, 
DC, Credit reporting, 1068839, Incorrect information on credit report, 
DC, Bank account or service, 1068733, Deposits and withdrawals, 
DC, Debt collection, 1068168, Improper contact or sharing of info, 
DC, Mortgage, 1066254, Credit decision / Underwriting, 
DC, Credit card, 1067662, Delinquent account, 
DC, Debt collection, 1065294, Cont'd attempts collect debt not owed, 
DC, Bank account or service, 1063971, Using a debit or ATM card, 
DC, Bank account or service, 1063970, Problems caused by my funds being low, 
DC, Credit reporting, 1063341, Credit monitoring or identity protection, 
DC, Bank account or service, 1061763, Using a debit or ATM card, 
DC, Credit reporting, 1062634, Credit reporting company's investigation, 
DC, Credit card, 1058649, Billing disputes, 
DC, Credit reporting, 1060847, Incorrect information on credit report, 
DC, Debt collection, 1059006, Cont'd attempts collect debt not owed, 
DC, Credit card, 1058370, Advertising and marketing, 
DC, Credit reporting, 1056556, Credit reporting company's investigation, 
DC, Bank account or service, 1054644, Deposits and withdrawals, 
DC, Debt collection, 1048114, Cont'd attempts collect debt not owed, 
DC, Credit reporting, 1048162, Incorrect information on credit report, 
DC, Debt collection, 1047081, Improper contact or sharing of info, 
DC, Debt collection, 1047678, Cont'd attempts collect debt not owed, 
DC, Credit card, 1047680, Billing disputes, 
DC, Debt collection, 1047679, Cont'd attempts collect debt not owed, 
DC, Mortgage, 1046264, Settlement process and costs, 
DC, Mortgage, 1045104, Settlement process and costs, 
DC, Consumer loan, 1045374, Taking out the loan or lease, 
DC, Credit reporting, 1044062, Incorrect information on credit report, 
DC, Credit reporting, 1044061, Incorrect information on credit report, 
DC, Credit reporting, 1044060, Incorrect information on credit report, 
DC, Credit card, 1043699, Other, 
DC, Credit reporting, 1042180, Incorrect information on credit report, 
DC, Credit reporting, 1042178, Incorrect information on credit report, 
DC, Credit reporting, 1042179, Incorrect information on credit report, 
DC, Debt collection, 1038417, Disclosure verification of debt, 
DC, Bank account or service, 1038776, Deposits and withdrawals, 
DC, Debt collection, 1039762, False statements or representation, 
DC, Debt collection, 1039207, Communication tactics, 
DC, Credit card, 1035458, Payoff process, 
DC, Mortgage, 1031159, Settlement process and costs, 
DC, Credit reporting, 1028537, Incorrect information on credit report, 
DC, Credit card, 1028727, Billing disputes, 
DC, Money transfers, 1029092, Money was not available when promised, 
DC, Credit card, 1029671, Billing disputes, 
DC, Bank account or service, 1025929, Problems caused by my funds being low, 
DC, Debt collection, 1024508, Taking/threatening an illegal action, 
DC, Student loan, 1023864, Dealing with my lender or servicer, 
DC, Consumer loan, 1025403, Managing the loan or lease, 
DC, Credit card, 1022499, Billing disputes, 
DC, Debt collection, 1021216, Communication tactics, 
DC, Credit card, 1020203, Transaction issue, 
DC, Credit reporting, 1017766, Incorrect information on credit report, 
DC, Credit card, 1017514, APR or interest rate, 
DC, Money transfers, 1016894, Money was not available when promised, 
