RI, Bank account or service, 950923, Using a debit or ATM card, 
RI, Credit card, 948724, Billing disputes, 
RI, Payday loan, 948903, Received a loan I didn't apply for, 
RI, Debt collection, 947536, Improper contact or sharing of info, 
RI, Debt collection, 944943, Communication tactics, 
RI, Credit card, 943654, Identity theft / Fraud / Embezzlement, 
RI, Credit reporting, 942661, Incorrect information on credit report, 
RI, Credit reporting, 942659, Incorrect information on credit report, 
RI, Credit card, 940595, Closing/Cancelling account, 
RI, Credit reporting, 936364, Incorrect information on credit report, 
RI, Payday loan, 936449, Charged fees or interest I didn't expect, 
RI, Debt collection, 931237, Disclosure verification of debt, 
RI, Debt collection, 932218, Taking/threatening an illegal action, 
RI, Debt collection, 932217, Cont'd attempts collect debt not owed, 
RI, Credit reporting, 927691, Incorrect information on credit report, 
RI, Consumer loan, 927783, Managing the loan or lease, 
RI, Debt collection, 925302, Cont'd attempts collect debt not owed, 
RI, Debt collection, 925301, False statements or representation, 
RI, Credit reporting, 924343, Unable to get credit report/credit score, 
RI, Debt collection, 923151, Improper contact or sharing of info, 
RI, Debt collection, 921801, False statements or representation, 
RI, Consumer loan, 920651, Managing the loan or lease, 
RI, Debt collection, 919409, Disclosure verification of debt, 
RI, Consumer loan, 920740, Managing the loan or lease, 
RI, Credit reporting, 914539, Incorrect information on credit report, 
RI, Credit reporting, 914538, Incorrect information on credit report, 
RI, Credit reporting, 913426, Incorrect information on credit report, 
RI, Money transfers, 910853, Fraud or scam, 
RI, Credit card, 906459, Billing disputes, 
RI, Credit card, 902860, Balance transfer, 
RI, Credit reporting, 901824, Unable to get credit report/credit score, 
RI, Credit reporting, 900741, Incorrect information on credit report, 
RI, Credit card, 901558, Payoff process, 
RI, Bank account or service, 900331, Deposits and withdrawals, 
RI, Bank account or service, 898235, Deposits and withdrawals, 
RI, Credit reporting, 899614, Incorrect information on credit report, 
RI, Debt collection, 897010, Communication tactics, 
RI, Money transfers, 895462, Fraud or scam, 
RI, Bank account or service, 891530, Deposits and withdrawals, 
RI, Consumer loan, 891842, Managing the loan or lease, 
RI, Debt collection, 892052, Cont'd attempts collect debt not owed, 
RI, Credit card, 890569, Customer service / Customer relations, 
RI, Debt collection, 890134, Cont'd attempts collect debt not owed, 
RI, Debt collection, 886190, Communication tactics, 
RI, Debt collection, 885730, Disclosure verification of debt, 
RI, Credit reporting, 885866, Incorrect information on credit report, 
RI, Credit reporting, 885868, Incorrect information on credit report, 
RI, Credit reporting, 885867, Incorrect information on credit report, 
RI, Debt collection, 884931, False statements or representation, 
RI, Bank account or service, 885164, Problems caused by my funds being low, 
RI, Bank account or service, 883855, Problems caused by my funds being low, 
RI, Debt collection, 882015, Cont'd attempts collect debt not owed, 
RI, Debt collection, 882028, Communication tactics, 
RI, Student loan, 881205, Dealing with my lender or servicer, 
RI, Debt collection, 876010, Communication tactics, 
RI, Debt collection, 873341, Cont'd attempts collect debt not owed, 
RI, Bank account or service, 874379, Using a debit or ATM card, 
RI, Consumer loan, 869985, Managing the loan or lease, 
RI, Credit reporting, 864183, Incorrect information on credit report, 
RI, Credit reporting, 864995, Incorrect information on credit report, 
RI, Credit card, 862260, Billing disputes, 
RI, Credit card, 863229, Identity theft / Fraud / Embezzlement, 
RI, Credit reporting, 863861, Incorrect information on credit report, 
RI, Debt collection, 861487, False statements or representation, 
RI, Debt collection, 859124, False statements or representation, 
RI, Debt collection, 857323, Cont'd attempts collect debt not owed, 
RI, Debt collection, 852383, Cont'd attempts collect debt not owed, 
RI, Debt collection, 850394, Cont'd attempts collect debt not owed, 
RI, Bank account or service, 850724, Problems caused by my funds being low, 
RI, Payday loan, 847261, Charged fees or interest I didn't expect, 
RI, Bank account or service, 848569, Deposits and withdrawals, 
RI, Consumer loan, 846259, Taking out the loan or lease, 
RI, Debt collection, 846342, Cont'd attempts collect debt not owed, 
RI, Debt collection, 843784, Improper contact or sharing of info, 
RI, Debt collection, 843603, Disclosure verification of debt, 
RI, Credit reporting, 841994, Unable to get credit report/credit score, 
RI, Student loan, 838813, Can't repay my loan, 
RI, Credit card, 838195, Other fee, 
RI, Bank account or service, 836883, Using a debit or ATM card, 
RI, Credit reporting, 835821, Incorrect information on credit report, 
RI, Bank account or service, 834762, Problems caused by my funds being low, 
RI, Student loan, 833652, Dealing with my lender or servicer, 
RI, Mortgage, 830182, Other, 
RI, Student loan, 828013, Dealing with my lender or servicer, 
