PA, Bank account or service, 1112873, Deposits and withdrawals, 
PA, Credit reporting, 1112063, Incorrect information on credit report, 
PA, Consumer loan, 1110627, Managing the loan or lease, 
PA, Credit reporting, 1107786, Incorrect information on credit report, 
PA, Payday loan, 1107073, Charged fees or interest I didn't expect, 
PA, Debt collection, 1104773, Disclosure verification of debt, 
PA, Debt collection, 1106567, Communication tactics, 
PA, Bank account or service, 1103472, Problems caused by my funds being low, 
PA, Credit reporting, 1100198, Credit reporting company's investigation, 
PA, Student loan, 1102362, Dealing with my lender or servicer, 
PA, Credit reporting, 1100178, Unable to get credit report/credit score, 
PA, Debt collection, 1100066, Cont'd attempts collect debt not owed, 
PA, Bank account or service, 1098353, Deposits and withdrawals, 
PA, Credit reporting, 1097577, Incorrect information on credit report, 
PA, Credit reporting, 1097306, Incorrect information on credit report, 
PA, Credit card, 1097370, Customer service / Customer relations, 
PA, Credit reporting, 1095981, Incorrect information on credit report, 
PA, Debt collection, 1096284, Cont'd attempts collect debt not owed, 
PA, Credit card, 1097204, Other, 
PA, Consumer loan, 1096467, Managing the loan or lease, 
PA, Debt collection, 1096109, Improper contact or sharing of info, 
PA, Bank account or service, 1094484, Deposits and withdrawals, 
PA, Bank account or service, 1092376, Problems caused by my funds being low, 
PA, Credit card, 1092659, Closing/Cancelling account, 
PA, Student loan, 1091250, Dealing with my lender or servicer, 
PA, Debt collection, 1091482, False statements or representation, 
PA, Credit card, 1092426, Payoff process, 
PA, Credit card, 1092786, Credit determination, 
PA, Credit card, 1093059, Late fee, 
PA, Credit reporting, 1091307, Unable to get credit report/credit score, 
PA, Student loan, 1091449, Dealing with my lender or servicer, 
PA, Bank account or service, 1091588, Problems caused by my funds being low, 
PA, Consumer loan, 1091823, Problems when you are unable to pay, 
PA, Debt collection, 1091827, Disclosure verification of debt, 
PA, Credit reporting, 1087742, Incorrect information on credit report, 
PA, Credit reporting, 1087362, Credit reporting company's investigation, 
PA, Debt collection, 1091169, Cont'd attempts collect debt not owed, 
PA, Debt collection, 1088513, Cont'd attempts collect debt not owed, 
PA, Consumer loan, 1087768, Problems when you are unable to pay, 
PA, Debt collection, 1088669, Cont'd attempts collect debt not owed, 
PA, Debt collection, 1090319, Improper contact or sharing of info, 
PA, Bank account or service, 1090317, Deposits and withdrawals, 
PA, Credit reporting, 1090902, Improper use of my credit report, 
PA, Bank account or service, 1091029, Problems caused by my funds being low, 
PA, Debt collection, 1090579, Cont'd attempts collect debt not owed, 
PA, Debt collection, 1089343, Cont'd attempts collect debt not owed, 
PA, Debt collection, 1090237, Taking/threatening an illegal action, 
PA, Credit card, 1088760, Identity theft / Fraud / Embezzlement, 
