TransUnion,Closed with explanation,1111292,Credit reporting
Equifax,Closed with explanation,1109795,Credit reporting
Ocwen,Closed with explanation,1111271,Mortgage
TransUnion,In progress,1109311,Credit reporting
TransUnion,Closed with explanation,1109318,Credit reporting
"Expert Global Solutions, Inc.",In progress,1111740,Debt collection
Equifax,Closed with explanation,1109671,Credit reporting
Equifax,Closed with explanation,1109917,Credit reporting
TransUnion,In progress,1111209,Credit reporting
Citibank,Closed with non-monetary relief,1111231,Debt collection
Equifax,Closed with explanation,1110728,Credit reporting
FMS Inc.,Closed with explanation,1110569,Debt collection
"FNIS (Fidelity National Information Services, Inc.)",Closed with explanation,1110574,Credit reporting
"SKO Brenner American, Inc.",Closed with non-monetary relief,1110389,Debt collection
Ally Financial Inc.,In progress,1110627,Consumer loan
Solidus Group LLC.,Closed with explanation,1110504,Debt collection
Solidus Group LLC.,Closed with explanation,1110491,Debt collection
"FAIR COLLECTIONS & OUTSOURCING, INC.",Closed with explanation,1110267,Debt collection
Bank of America,In progress,1110347,Bank account or service
Wells Fargo,Closed with explanation,1109858,Bank account or service
Ocwen,Closed with explanation,1111282,Mortgage
Citibank,Closed with explanation,1110086,Debt collection
Equifax,Closed with explanation,1110156,Credit reporting
Equifax,In progress,1110646,Credit reporting
TransUnion,Closed with non-monetary relief,1109661,Credit reporting
TransUnion,Closed with explanation,1110567,Credit reporting
TransUnion,Closed with explanation,1109475,Credit reporting
Equifax,Closed with explanation,1111264,Credit reporting
Equifax,Closed with explanation,1110566,Credit reporting
TransUnion,In progress,1110897,Credit reporting
Equifax,Closed with non-monetary relief,1109271,Credit reporting
Equifax,Closed with explanation,1111293,Credit reporting
Ally Financial Inc.,In progress,1110166,Consumer loan
MOHELA,In progress,1111310,Student loan
"Hiday & Ricke, P.A.",Closed with explanation,1111338,Debt collection
"Credit Protection Association, L.P.",Closed with explanation,1109417,Debt collection
Equifax,Closed with explanation,1111778,Credit reporting
Bank of America,In progress,1109600,Mortgage
Nationstar Mortgage,In progress,1109591,Mortgage
Sierra Holdings LLC,Closed with explanation,1110152,Consumer loan
Equifax,Closed with explanation,1110029,Credit reporting
Provident Funding,Closed with explanation,1109460,Mortgage
TransUnion,Closed with explanation,1109438,Credit reporting
Equifax,Closed with explanation,1110069,Credit reporting
TransUnion,Closed with non-monetary relief,1109764,Credit reporting
"Convergent Resources, Inc.",Closed with explanation,1109556,Debt collection
Wells Fargo,Closed with explanation,1109987,Mortgage
First Federal Credit Control,Closed with explanation,1109413,Debt collection
TransUnion,Closed with non-monetary relief,1109469,Credit reporting
Ally Financial Inc.,In progress,1109177,Consumer loan
"Expert Global Solutions, Inc.",In progress,1109166,Debt collection
TransUnion,In progress,1109171,Credit reporting
TransUnion,In progress,1109068,Credit reporting
ACS Education Services,Closed with explanation,1109116,Student loan
Equifax,Closed with explanation,1109388,Credit reporting
Equifax,Closed with explanation,1109386,Credit reporting
TransUnion,Closed with explanation,1109189,Credit reporting
Equifax,Closed with explanation,1109351,Credit reporting
"Expert Global Solutions, Inc.",In progress,1109387,Student loan
Equifax,Closed with explanation,1109383,Credit reporting
Equifax,Closed with explanation,1109376,Credit reporting
TransUnion,Closed with non-monetary relief,1109375,Credit reporting
Physicians & Dentists Credit Bureau,Closed with explanation,1109233,Debt collection
"Enhanced Recovery Company, LLC",Closed with non-monetary relief,1109207,Debt collection
Equifax,In progress,1109173,Credit reporting
"Aargon Agency, Inc.",Closed,1109193,Debt collection
"FNIS (Fidelity National Information Services, Inc.)",Closed with explanation,1109373,Bank account or service
Equifax,Closed with explanation,1109187,Credit reporting
TransUnion,In progress,1109135,Credit reporting
Equifax,In progress,1109190,Credit reporting
TransUnion,Closed with explanation,1109205,Credit reporting
"ALEXANDER-ROSE ASSOC, INC.",In progress,1109122,Debt collection
"WINN LAW GROUP, APC",Closed with explanation,1109097,Debt collection
Equifax,In progress,1109152,Credit reporting
Bank of America,Closed with non-monetary relief,1109141,Mortgage
Equifax,In progress,1109060,Credit reporting
"Enhanced Recovery Company, LLC",Closed with non-monetary relief,1109114,Debt collection
Equifax,In progress,1109048,Credit reporting
Equifax,In progress,1109206,Credit reporting
TransUnion,In progress,1109371,Credit reporting
"Bayview Loan Servicing, LLC",In progress,1109106,Mortgage
"Asset Management Outsourcing, Inc.",Closed with explanation,1109148,Debt collection
Equifax,Closed with non-monetary relief,1109091,Credit reporting
"Bayview Loan Servicing, LLC",In progress,1109250,Mortgage
TransUnion,Closed with non-monetary relief,1108855,Credit reporting
TransUnion,Closed with explanation,1108941,Credit reporting
Equifax,Closed with explanation,1109077,Credit reporting
TransUnion,In progress,1108828,Credit reporting
JPMorgan Chase,Closed with explanation,1108804,Bank account or service
TransUnion,In progress,1108654,Credit reporting
"Delta Management Associates, Inc.",Closed with explanation,1108810,Debt collection
Equifax,Closed with non-monetary relief,1108812,Credit reporting
"United Collection Bureau, Inc.",Closed with explanation,1108814,Debt collection
"Maury Cobb, Attorney at Law, LLC",In progress,1108831,Debt collection
Arbor Residential Mortgage LLC,In progress,1108837,Mortgage
Clark County Collection Service,Closed with explanation,1109079,Debt collection
Springleaf Finance Corporation,In progress,1108644,Consumer loan
TransUnion,In progress,1108656,Credit reporting
JPMorgan Chase,Closed with explanation,1108786,Bank account or service
"Enhanced Recovery Company, LLC",Closed with non-monetary relief,1108789,Debt collection
"Pressler & Pressler, LLP",Closed with explanation,1108793,Debt collection
Equifax,In progress,1108827,Credit reporting
Equifax,Closed with non-monetary relief,1108859,Credit reporting
Navy FCU,In progress,1108888,Credit card
CarFinance Capital LLC,Closed with monetary relief,1109031,Consumer loan
"First Direct Lending, LLC",Closed with explanation,1109072,Mortgage
Phoenix Financial Services LLC,Closed with explanation,1108944,Debt collection
Citibank,Closed with non-monetary relief,1109046,Credit card
"HCFS Health Care Financial Services, Inc.",Closed with explanation,1108861,Debt collection
MiraMed Revenue Group LLC,Closed with explanation,1108877,Debt collection
JPMorgan Chase,Closed,1109236,Bank account or service
Equifax,Closed with non-monetary relief,1109088,Credit reporting
TransUnion,Closed with explanation,1107501,Credit reporting
Flagstar Bank,In progress,1106625,Mortgage
Equifax,Closed with explanation,1108923,Credit reporting
"ARS National Services, Inc.",In progress,1107337,Debt collection
Equifax,Closed with explanation,1108661,Credit reporting
TransUnion,In progress,1108741,Credit reporting
Equifax,Closed with explanation,1108378,Credit reporting
Equifax,Closed with explanation,1108659,Credit reporting
"Love, Beal & Nixon, P.C.",Closed with explanation,1108372,Debt collection
"ProCollect, Inc",Closed with explanation,1108216,Debt collection
Ocwen,Closed with explanation,1108117,Mortgage
"ATG Credit, LLC",Closed with explanation,1108075,Debt collection
Equifax,Closed with explanation,1108120,Credit reporting
Citibank,Closed with explanation,1108059,Mortgage
"Bayview Loan Servicing, LLC",Closed with explanation,1107918,Debt collection
Penn Credit Corporation,Closed with explanation,1107940,Debt collection
TransUnion,Closed with non-monetary relief,1107786,Credit reporting
Allied Interstate LLC,Closed with non-monetary relief,1107747,Debt collection
Equifax,Closed with explanation,1107686,Credit reporting
R & B Corporation of Virginia,Closed with non-monetary relief,1107694,Debt collection
TransUnion,Closed with explanation,1107493,Credit reporting
Experian,Closed,1107375,Credit reporting
Flagstar Bank,Closed with explanation,1107487,Mortgage
"Expert Global Solutions, Inc.",In progress,1107050,Debt collection
"Green Trust Cash, LLC",In progress,1107073,Payday loan
Ally Financial Inc.,In progress,1107082,Consumer loan
Citibank,Closed with explanation,1106978,Credit card
"Expert Global Solutions, Inc.",In progress,1106988,Debt collection
Focus Holding Company,Closed with explanation,1107166,Debt collection
"National Credit Adjusters, LLC",Closed with explanation,1106859,Debt collection
JPMorgan Chase,Closed with monetary relief,1106849,Bank account or service
Ocwen,Closed with monetary relief,1106845,Mortgage
Equifax,Closed with explanation,1106583,Credit reporting
Equifax,Closed with explanation,1106659,Credit reporting
Equifax,Closed with non-monetary relief,1108728,Credit reporting
Equifax,Closed with explanation,1106608,Credit reporting
Equifax,In progress,1107296,Credit reporting
TransUnion,In progress,1107376,Credit reporting
TransUnion,Closed with explanation,1108178,Credit reporting
Equifax,Closed with non-monetary relief,1108179,Credit reporting
Experian,Closed with non-monetary relief,1108358,Credit reporting
"Capio Partners, LLC",Closed with non-monetary relief,1108190,Debt collection
TransUnion,In progress,1108218,Credit reporting
Equifax,Closed with explanation,1108394,Credit reporting
TransUnion,Closed with non-monetary relief,1106582,Credit reporting
TransUnion,Closed with explanation,1107731,Credit reporting
Equifax,Closed with explanation,1108660,Credit reporting
Citibank,Closed with explanation,1108727,Debt collection
TransUnion,Closed with explanation,1108393,Credit reporting
TransUnion,In progress,1108188,Credit reporting
Citibank,Closed with monetary relief,1108687,Credit card
Springleaf Finance Corporation,In progress,1108755,Credit card
Equifax,Closed with explanation,1108744,Credit reporting
Equifax,Closed with explanation,1108733,Credit reporting
TransUnion,Closed with explanation,1108732,Credit reporting
HSBC,In progress,1106860,Debt collection
"Enhanced Recovery Company, LLC",Closed with non-monetary relief,1106855,Debt collection
"Expert Global Solutions, Inc.",In progress,1106956,Debt collection
Wells Fargo,Closed with explanation,1107503,Bank account or service
Equifax,Closed with non-monetary relief,1107150,Credit reporting
"Diversified Consultants, Inc.",Closed with explanation,1107141,Debt collection
"Bayview Loan Servicing, LLC",In progress,1107146,Mortgage
Equifax,In progress,1107316,Credit reporting
Experian,In progress,1107215,Credit reporting
Experian,Closed with explanation,1107240,Credit reporting
Experian,Closed with non-monetary relief,1107499,Credit reporting
Equifax,Closed with explanation,1107171,Credit reporting
TransUnion,Closed with non-monetary relief,1107334,Credit reporting
Equifax,In progress,1107374,Credit reporting
Oracle Financial Group LLC.,Closed with non-monetary relief,1107388,Debt collection
Wells Fargo,Closed with explanation,1107458,Bank account or service
Navy FCU,In progress,1108389,Bank account or service
Bank of America,In progress,1107604,Bank account or service
Equifax,Closed with explanation,1109045,Credit reporting
Equifax,Closed with explanation,1107708,Credit reporting
"FNIS (Fidelity National Information Services, Inc.)",Closed with explanation,1108020,Credit reporting
TransUnion,Closed with explanation,1107765,Credit reporting
Experian,Closed with non-monetary relief,1108049,Credit reporting
Experian,Closed,1107732,Credit reporting
TransUnion,Closed with explanation,1108015,Credit reporting
"Expert Global Solutions, Inc.",Closed with explanation,1107939,Debt collection
"Enhanced Recovery Company, LLC",Closed with non-monetary relief,1108155,Debt collection
TransUnion,In progress,1108071,Credit reporting
Santander Bank US,In progress,1108062,Bank account or service
"Bayview Loan Servicing, LLC",Closed with explanation,1106755,Debt collection
Flagstar Bank,In progress,1107509,Mortgage
TransUnion,Closed with non-monetary relief,1106658,Credit reporting
Solidus Group LLC.,Closed with explanation,1106675,Debt collection
TransUnion,Closed with non-monetary relief,1106605,Credit reporting
Wells Fargo,Closed with explanation,1106599,Bank account or service
"Ability Recovery Services, LLC",Closed with explanation,1107530,Debt collection
Nationstar Mortgage,Closed with explanation,1106636,Mortgage
TransUnion,Closed with explanation,1106609,Credit reporting
TransUnion,In progress,1108050,Credit reporting
Quality Asset Recovery LLC,Closed with explanation,1107527,Debt collection
TransUnion,Closed with explanation,1108377,Credit reporting
Equifax,Closed with non-monetary relief,1108739,Credit reporting
Solidus Group LLC.,Closed with explanation,1105588,Debt collection
TransUnion,Closed with non-monetary relief,1106049,Credit reporting
Equifax,Closed with non-monetary relief,1106048,Credit reporting
"North American Asset Services, LLC",Closed with non-monetary relief,1106036,Debt collection
"I.C. System, Inc.",Closed with explanation,1105547,Debt collection
"Expert Global Solutions, Inc.",In progress,1106042,Debt collection
Experian,Closed with non-monetary relief,1105711,Credit reporting
Allied Interstate LLC,Closed with non-monetary relief,1105614,Debt collection
Equifax,Closed with non-monetary relief,1106134,Credit reporting
Ocwen,Closed with explanation,1106129,Mortgage
Nationstar Mortgage,Closed with explanation,1105722,Mortgage
TransUnion,Closed with explanation,1104386,Credit reporting
Bank of America,In progress,1106074,Bank account or service
TransUnion,Closed with explanation,1106834,Credit reporting
Equifax,Closed with explanation,1106833,Credit reporting
Equifax,Closed with explanation,1106678,Credit reporting
TransUnion,Closed with explanation,1105712,Credit reporting
TransUnion,Closed with non-monetary relief,1106047,Credit reporting
TransUnion,In progress,1105634,Credit reporting
"Convergent Resources, Inc.",Closed with explanation,1105445,Debt collection
Navy FCU,In progress,1105465,Consumer loan
Equifax,Closed with non-monetary relief,1105380,Credit reporting
"FNIS (Fidelity National Information Services, Inc.)",In progress,1105399,Credit reporting
"Convergent Resources, Inc.",Closed with explanation,1105407,Debt collection
"Franklin Collection Service, Inc.",Closed with explanation,1105412,Debt collection
Loan Care,Closed with explanation,1104744,Mortgage
TransUnion,In progress,1105062,Credit reporting
NVR Inc,Closed with explanation,1105081,Mortgage
"Expert Global Solutions, Inc.",Closed with explanation,1104899,Debt collection
Experian,Closed with non-monetary relief,1105023,Credit reporting
"Regional Acquisition Group, Inc.",Closed with explanation,1104966,Debt collection
Equifax,Closed with non-monetary relief,1104603,Credit reporting
TransUnion,In progress,1105426,Credit reporting
Equifax,Closed with explanation,1104387,Credit reporting
Encore Capital Group,Closed with explanation,1104417,Debt collection
Bank of America,Closed with explanation,1104411,Credit card
Equifax,Closed with explanation,1106820,Credit reporting
Navy FCU,In progress,1106802,Mortgage
TransUnion,Closed with explanation,1106801,Credit reporting
BMO Harris,Closed with explanation,1106822,Bank account or service
