  Closed with explanation, 1101905, Credit reporting, 
  Closed with explanation, 1099433, Credit reporting, 
  Closed with non-monetary relief, 1100003, Credit reporting, 
  Closed with explanation, 1099916, Credit reporting, 
  In progress, 1099397, Credit reporting, 
  In progress, 1099473, Credit reporting, 
  Closed with explanation, 1099434, Credit reporting, 
  Closed with explanation, 1099386, Credit reporting, 
  Closed with explanation, 1099458, Credit reporting, 
  In progress, 1099476, Credit reporting, 
  Closed with non-monetary relief, 1099497, Credit reporting, 
  Closed with non-monetary relief, 1099593, Credit reporting, 
  Closed with explanation, 1100013, Credit reporting, 
  Closed with explanation, 1099995, Credit reporting, 
  Closed with explanation, 1097819, Credit reporting, 
  Closed with explanation, 1098022, Credit reporting, 
  Closed with explanation, 1098021, Credit reporting, 
  Closed with non-monetary relief, 1100131, Credit reporting, 
  Closed with explanation, 1099580, Credit reporting, 
  Closed with explanation, 1097925, Credit reporting, 
  Closed with non-monetary relief, 1098167, Credit reporting, 
  Closed with explanation, 1098548, Credit reporting, 
  Closed with explanation, 1097639, Credit reporting, 
  Closed with explanation, 1097577, Credit reporting, 
  Closed with explanation, 1097599, Credit reporting, 
  Closed with explanation, 1097635, Credit reporting, 
  In progress, 1097653, Credit reporting, 
  Closed with explanation, 1097229, Credit reporting, 
  Closed with explanation, 1097649, Credit reporting, 
  Closed with explanation, 1097319, Credit reporting, 
  In progress, 1097291, Credit reporting, 
  Closed with non-monetary relief, 1097303, Credit reporting, 
  In progress, 1097151, Credit reporting, 
  In progress, 1097234, Credit reporting, 
  Closed with explanation, 1097254, Credit reporting, 
  In progress, 1097402, Credit reporting, 
  Closed with explanation, 1096519, Credit reporting, 
  Closed with explanation, 1095248, Credit reporting, 
  Closed with explanation, 1094970, Credit reporting, 
