Capital One, Closed with explanation, 1105231, Credit card, 
Capital One, In progress, 1097594, Debt collection, 
Capital One, In progress, 1097350, Debt collection, 
Capital One, Closed with explanation, 1097498, Credit card, 
Capital One, In progress, 1094860, Debt collection, 
