GE Capital Retail, Closed with explanation, 1099159, Credit card, 
GE Capital Retail, Closed with monetary relief, 1099478, Credit card, 
GE Capital Retail, Closed with explanation, 1099069, Debt collection, 
GE Capital Retail, Closed with monetary relief, 1097963, Debt collection, 
GE Capital Retail, Closed with monetary relief, 1098165, Credit card, 
GE Capital Retail, Closed with monetary relief, 1097661, Credit card, 
GE Capital Retail, Closed with explanation, 1097147, Credit card, 
