AA,Wells Fargo,3
AE,Bank of America,11
AK,Wells Fargo,67
AL,Wells Fargo,261
AP,Bank of America,12
AR,Bank of America,150
AS,Amex,1
AS,Bank of America,1
AS,Bank of Hawaii,1
AS,Citibank,1
AS,Equifax,1
AS,Experian,1
AS,First Hawaiian Bank,1
AS,Navy FCU,1
AS,Ocwen,1
AS,TransUnion,1
AZ,Bank of America,1006
CA,Bank of America,7840
CO,Bank of America,601
CT,Bank of America,552
DC,Bank of America,232
DE,Bank of America,176
FL,Bank of America,4498
FM,Bank of America,5
GA,Bank of America,2264
GU,Bank of America,3
GU,Citibank,3
GU,First Hawaiian Bank,3
HI,Bank of America,176
IA,Wells Fargo,165
ID,Bank of America,134
IL,Bank of America,1170
IN,Bank of America,275
KS,Bank of America,182
KY,Bank of America,204
LA,JPMorgan Chase,246
MA,Bank of America,1055
MD,Bank of America,1522
ME,Bank of America,176
MH,Citibank,2
MH,Experian,2
MH,Wells Fargo,2
MI,Bank of America,1293
MN,Wells Fargo,562
MO,Bank of America,557
MP,TransUnion,2
MS,Bank of America,127
MT,Wells Fargo,75
NC,Bank of America,1267
ND,Wells Fargo,30
NE,Wells Fargo,148
NH,Bank of America,376
NJ,Bank of America,1676
NM,Wells Fargo,177
NV,Bank of America,474
NY,JPMorgan Chase,2242
OH,Bank of America,779
OK,Bank of America,192
OR,Bank of America,503
PA,Wells Fargo,1046
PR,Banco Popular de Puerto Rico,120
PW,Capital One,1
PW,Citibank,1
PW,Equifax,1
PW,GE Capital Retail,1
PW,Green Tree Servicing; LLC,1
PW,PNC Bank,1
RI,Bank of America,135
SC,Bank of America,385
SD,Wells Fargo,58
TN,Bank of America,523
TX,Experian,2124
UT,Bank of America,174
VA,Bank of America,1200
VI,Banco Popular de Puerto Rico,9
VT,Bank of America,65
WA,Bank of America,1012
WI,Bank of America,365
WV,JPMorgan Chase,77
WY,Experian,33
WY,Wells Fargo,33
