 Consumer loan, 1114124, Managing the loan or lease, 
 Debt collection, 1111501, Cont'd attempts collect debt not owed, 
 Credit reporting, 1109475, Improper use of my credit report, 
 Credit reporting, 1108812, Unable to get credit report/credit score, 
 Credit reporting, 1107686, Incorrect information on credit report, 
 Credit reporting, 1108358, Credit reporting company's investigation, 
 Credit card, 1108755, APR or interest rate, 
 Credit reporting, 1104041, Credit reporting company's investigation, 
 Credit reporting, 1103742, Incorrect information on credit report, 
 Credit reporting, 1100161, Unable to get credit report/credit score, 
 Payday loan, 1102368, Charged fees or interest I didn't expect, 
 Credit reporting, 1097653, Credit reporting company's investigation, 
 Credit reporting, 1097654, Incorrect information on credit report, 
 Credit card, 1097500, Closing/Cancelling account, 
 Consumer loan, 1095800, Managing the loan or lease, 
 Credit card, 1094909, Advertising and marketing, 
 Credit reporting, 1094940, Incorrect information on credit report, 
 Money transfers, 1093949, Fraud or scam, 
 Consumer loan, 1092245, Taking out the loan or lease, 
 Debt collection, 1093099, Cont'd attempts collect debt not owed, 
 Payday loan, 1093124, Charged fees or interest I didn't expect, 
 Credit card, 1092454, Late fee, 
 Credit card, 1093087, Delinquent account, 
 Credit card, 1092055, Delinquent account, 
 Bank account or service, 1091322, Using a debit or ATM card, 
 Credit card, 1087582, Identity theft / Fraud / Embezzlement, 
 Consumer loan, 1087339, Managing the loan or lease, 
 Debt collection, 1087210, Communication tactics, 
 Consumer loan, 1087909, Shopping for a loan or lease, 
 Consumer loan, 1088713, Problems when you are unable to pay, 
 Credit card, 1089096, Other, 
 Student loan, 1089978, Dealing with my lender or servicer, 
 Bank account or service, 1090063, Deposits and withdrawals, 
 Consumer loan, 1090105, Managing the loan or lease, 
 Debt collection, 1090140, Cont'd attempts collect debt not owed, 
 Credit card, 1089095, Other, 
 Debt collection, 1090295, Cont'd attempts collect debt not owed, 
 Debt collection, 1089456, Communication tactics, 
 Credit card, 1090440, Cash advance fee, 
 Credit card, 1089535, Closing/Cancelling account, 
