 Credit reporting, 1109376, Improper use of my credit report, 
 Debt collection, 1108789, Cont'd attempts collect debt not owed, 
 Student loan, 1101634, Can't repay my loan, 
 Credit card, 1099994, Late fee, 
 Credit reporting, 1098869, Incorrect information on credit report, 
 Debt collection, 1093281, Communication tactics, 
 Credit card, 1094152, Billing disputes, 
 Debt collection, 1093282, Communication tactics, 
 Debt collection, 1092269, Disclosure verification of debt, 
 Credit card, 1090221, Other, 
 Credit card, 1090220, Other, 
 Bank account or service, 1085405, Problems caused by my funds being low, 
 Credit reporting, 1084996, Incorrect information on credit report, 
 Student loan, 1084892, Can't repay my loan, 
 Credit reporting, 1083146, Incorrect information on credit report, 
 Student loan, 1084893, Can't repay my loan, 
 Debt collection, 1082235, Disclosure verification of debt, 
 Credit reporting, 1081337, Credit reporting company's investigation, 
 Credit reporting, 1081379, Incorrect information on credit report, 
 Consumer loan, 1080535, Shopping for a loan or lease, 
 Payday loan, 1081211, Charged fees or interest I didn't expect, 
 Debt collection, 1076249, Communication tactics, 
 Debt collection, 1076248, Communication tactics, 
 Payday loan, 1073430, Applied for loan/did not receive money, 
 Credit reporting, 1071802, Incorrect information on credit report, 
 Debt collection, 1071628, Cont'd attempts collect debt not owed, 
 Bank account or service, 1068727, Deposits and withdrawals, 
 Credit reporting, 1068839, Incorrect information on credit report, 
 Bank account or service, 1068733, Deposits and withdrawals, 
 Debt collection, 1068168, Improper contact or sharing of info, 
 Mortgage, 1066254, Credit decision / Underwriting, 
 Credit card, 1067662, Delinquent account, 
 Debt collection, 1065294, Cont'd attempts collect debt not owed, 
 Bank account or service, 1063971, Using a debit or ATM card, 
 Bank account or service, 1063970, Problems caused by my funds being low, 
 Credit reporting, 1063341, Credit monitoring or identity protection, 
 Bank account or service, 1061763, Using a debit or ATM card, 
 Credit reporting, 1062634, Credit reporting company's investigation, 
 Credit card, 1058649, Billing disputes, 
 Credit reporting, 1060847, Incorrect information on credit report, 
 Debt collection, 1059006, Cont'd attempts collect debt not owed, 
 Credit card, 1058370, Advertising and marketing, 
 Credit reporting, 1056556, Credit reporting company's investigation, 
 Bank account or service, 1054644, Deposits and withdrawals, 
 Debt collection, 1048114, Cont'd attempts collect debt not owed, 
 Credit reporting, 1048162, Incorrect information on credit report, 
 Debt collection, 1047081, Improper contact or sharing of info, 
 Debt collection, 1047678, Cont'd attempts collect debt not owed, 
 Credit card, 1047680, Billing disputes, 
 Debt collection, 1047679, Cont'd attempts collect debt not owed, 
 Mortgage, 1046264, Settlement process and costs, 
 Mortgage, 1045104, Settlement process and costs, 
 Consumer loan, 1045374, Taking out the loan or lease, 
 Credit reporting, 1044062, Incorrect information on credit report, 
 Credit reporting, 1044061, Incorrect information on credit report, 
 Credit reporting, 1044060, Incorrect information on credit report, 
 Credit card, 1043699, Other, 
 Credit reporting, 1042180, Incorrect information on credit report, 
 Credit reporting, 1042178, Incorrect information on credit report, 
 Credit reporting, 1042179, Incorrect information on credit report, 
 Debt collection, 1038417, Disclosure verification of debt, 
 Bank account or service, 1038776, Deposits and withdrawals, 
 Debt collection, 1039762, False statements or representation, 
 Debt collection, 1039207, Communication tactics, 
 Credit card, 1035458, Payoff process, 
 Mortgage, 1031159, Settlement process and costs, 
 Credit reporting, 1028537, Incorrect information on credit report, 
 Credit card, 1028727, Billing disputes, 
 Money transfers, 1029092, Money was not available when promised, 
 Credit card, 1029671, Billing disputes, 
 Bank account or service, 1025929, Problems caused by my funds being low, 
 Debt collection, 1024508, Taking/threatening an illegal action, 
 Student loan, 1023864, Dealing with my lender or servicer, 
 Consumer loan, 1025403, Managing the loan or lease, 
 Credit card, 1022499, Billing disputes, 
 Debt collection, 1021216, Communication tactics, 
 Credit card, 1020203, Transaction issue, 
 Credit reporting, 1017766, Incorrect information on credit report, 
 Credit card, 1017514, APR or interest rate, 
 Money transfers, 1016894, Money was not available when promised, 
 Credit card, 1016989, Other, 
 Bank account or service, 1013755, Deposits and withdrawals, 
 Bank account or service, 1014417, Problems caused by my funds being low, 
 Bank account or service, 1014922, Deposits and withdrawals, 
 Student loan, 1012226, Dealing with my lender or servicer, 
 Debt collection, 1012406, Cont'd attempts collect debt not owed, 
 Money transfers, 1012913, Other transaction issues, 
 Credit card, 1010846, APR or interest rate, 
 Bank account or service, 1010782, Deposits and withdrawals, 
 Debt collection, 1009044, False statements or representation, 
 Credit card, 1007462, Billing disputes, 
