 Credit reporting, 1109309, Incorrect information on credit report, 
 Credit card, 1101749, Other, 
 Student loan, 1100127, Can't repay my loan, 
 Credit reporting, 1099593, Credit reporting company's investigation, 
 Credit reporting, 1100131, Unable to get credit report/credit score, 
 Credit reporting, 1098167, Incorrect information on credit report, 
 Consumer loan, 1097769, Shopping for a loan or lease, 
 Credit card, 1097482, Other, 
 Credit reporting, 1096520, Incorrect information on credit report, 
 Credit reporting, 1096519, Incorrect information on credit report, 
 Credit reporting, 1096518, Incorrect information on credit report, 
 Debt collection, 1093291, Communication tactics, 
 Credit reporting, 1096435, Credit reporting company's investigation, 
 Debt collection, 1092218, Communication tactics, 
 Student loan, 1092217, Dealing with my lender or servicer, 
 Debt collection, 1093064, Communication tactics, 
 Credit card, 1091150, Identity theft / Fraud / Embezzlement, 
 Student loan, 1090135, Can't repay my loan, 
 Debt collection, 1090633, Cont'd attempts collect debt not owed, 
 Credit reporting, 1086936, Incorrect information on credit report, 
 Consumer loan, 1086852, Taking out the loan or lease, 
 Student loan, 1086566, Dealing with my lender or servicer, 
 Bank account or service, 1086180, Deposits and withdrawals, 
 Bank account or service, 1085135, Deposits and withdrawals, 
 Debt collection, 1084622, Improper contact or sharing of info, 
 Consumer loan, 1083264, Managing the loan or lease, 
 Debt collection, 1084360, Improper contact or sharing of info, 
 Debt collection, 1084623, Improper contact or sharing of info, 
 Mortgage, 1084255, Settlement process and costs, 
 Debt collection, 1079457, Cont'd attempts collect debt not owed, 
 Bank account or service, 1079876, Problems caused by my funds being low, 
 Student loan, 1077538, Can't repay my loan, 
 Money transfers, 1078243, Other transaction issues, 
 Student loan, 1078731, Getting a loan, 
 Student loan, 1077827, Can't repay my loan, 
 Consumer loan, 1078652, Problems when you are unable to pay, 
 Payday loan, 1077498, Can't contact lender, 
 Debt collection, 1077125, Taking/threatening an illegal action, 
 Credit reporting, 1076909, Incorrect information on credit report, 
 Credit reporting, 1076184, Incorrect information on credit report, 
 Payday loan, 1075688, Charged fees or interest I didn't expect, 
 Debt collection, 1076765, Improper contact or sharing of info, 
 Credit card, 1075167, APR or interest rate, 
 Bank account or service, 1076654, Problems caused by my funds being low, 
 Consumer loan, 1071423, Managing the loan or lease, 
 Debt collection, 1071098, Cont'd attempts collect debt not owed, 
 Credit reporting, 1072512, Incorrect information on credit report, 
 Credit reporting, 1072511, Incorrect information on credit report, 
 Debt collection, 1071455, Cont'd attempts collect debt not owed, 
 Consumer loan, 1069833, Managing the loan or lease, 
 Consumer loan, 1070644, Taking out the loan or lease, 
 Debt collection, 1070523, Cont'd attempts collect debt not owed, 
 Consumer loan, 1070045, Taking out the loan or lease, 
 Student loan, 1069296, Can't repay my loan, 
 Debt collection, 1068699, Disclosure verification of debt, 
 Credit reporting, 1068155, Incorrect information on credit report, 
 Credit reporting, 1068154, Incorrect information on credit report, 
 Credit reporting, 1068210, Incorrect information on credit report, 
 Credit card, 1067624, Convenience checks, 
 Mortgage, 1066865, Settlement process and costs, 
 Student loan, 1066742, Dealing with my lender or servicer, 
 Debt collection, 1066703, Cont'd attempts collect debt not owed, 
 Debt collection, 1065786, Disclosure verification of debt, 
 Consumer loan, 1065670, Managing the loan or lease, 
 Debt collection, 1064017, False statements or representation, 
 Debt collection, 1063029, Improper contact or sharing of info, 
 Student loan, 1064663, Can't repay my loan, 
 Debt collection, 1064016, False statements or representation, 
 Debt collection, 1060921, Disclosure verification of debt, 
 Bank account or service, 1062165, Problems caused by my funds being low, 
 Bank account or service, 1060725, Problems caused by my funds being low, 
 Debt collection, 1061125, Taking/threatening an illegal action, 
 Credit reporting, 1062903, Incorrect information on credit report, 
 Debt collection, 1061539, Improper contact or sharing of info, 
 Debt collection, 1062134, Cont'd attempts collect debt not owed, 
 Consumer loan, 1060850, Problems when you are unable to pay, 
 Credit reporting, 1058916, Incorrect information on credit report, 
 Credit card, 1059116, Delinquent account, 
 Bank account or service, 1059348, Deposits and withdrawals, 
 Bank account or service, 1059346, Deposits and withdrawals, 
 Credit reporting, 1058725, Incorrect information on credit report, 
 Credit reporting, 1058349, Incorrect information on credit report, 
 Credit card, 1058418, APR or interest rate, 
 Debt collection, 1056533, False statements or representation, 
 Bank account or service, 1057215, Problems caused by my funds being low, 
 Student loan, 1057338, Can't repay my loan, 
 Credit card, 1058176, APR or interest rate, 
 Consumer loan, 1055686, Account terms and changes, 
 Debt collection, 1055665, Cont'd attempts collect debt not owed, 
 Debt collection, 1054488, Communication tactics, 
 Credit card, 1053223, Identity theft / Fraud / Embezzlement, 
 Credit reporting, 1053532, Incorrect information on credit report, 
 Credit card, 1053441, Other, 
 Student loan, 1053716, Dealing with my lender or servicer, 
 Credit card, 1053820, Closing/Cancelling account, 
 Bank account or service, 1053953, Deposits and withdrawals, 
 Debt collection, 1052498, Cont'd attempts collect debt not owed, 
 Credit reporting, 1052500, Credit reporting company's investigation, 
 Credit reporting, 1052499, Credit reporting company's investigation, 
 Credit card, 1051686, Transaction issue, 
 Credit card, 1050597, Rewards, 
 Credit card, 1048075, Advertising and marketing, 
 Credit card, 1048074, Billing disputes, 
